fastq_r1,fastq_r2,strain,subpool,plate,lane
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67N/IGVF016_67N_CKDL240001893-1A_223GL2LT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67N/IGVF016_67N_CKDL240001893-1A_223GL2LT4_L3_2.fq.gz,PWK_PhJ,67N,igvf_016,L3
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67N/IGVF016_67N_CKDL240001893-1A_223GL2LT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67N/IGVF016_67N_CKDL240001893-1A_223GL2LT4_L4_2.fq.gz,PWK_PhJ,67N,igvf_016,L4
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67N/IGVF016_67N_CKDL240001893-1A_223GL2LT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67N/IGVF016_67N_CKDL240001893-1A_223GL2LT4_L5_2.fq.gz,PWK_PhJ,67N,igvf_016,L5
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67N/IGVF016_67N_CKDL240001893-1A_223GL2LT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67N/IGVF016_67N_CKDL240001893-1A_223GL2LT4_L6_2.fq.gz,PWK_PhJ,67N,igvf_016,L6
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67N/IGVF016_67N_CKDL240001893-1A_223GL2LT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67N/IGVF016_67N_CKDL240001893-1A_223GL2LT4_L7_2.fq.gz,PWK_PhJ,67N,igvf_016,L7
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67N/IGVF016_67N_CKDL240001893-1A_223GL2LT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67N/IGVF016_67N_CKDL240001893-1A_223GL2LT4_L8_2.fq.gz,PWK_PhJ,67N,igvf_016,L8
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L1_2.fq.gz,PWK_PhJ,67O,igvf_016,L1
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L2_2.fq.gz,PWK_PhJ,67O,igvf_016,L2
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L3_2.fq.gz,PWK_PhJ,67O,igvf_016,L3
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L4_2.fq.gz,PWK_PhJ,67O,igvf_016,L4
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L5_2.fq.gz,PWK_PhJ,67O,igvf_016,L5
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L6_2.fq.gz,PWK_PhJ,67O,igvf_016,L6
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L7_2.fq.gz,PWK_PhJ,67O,igvf_016,L7
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67O/IGVF016_67O_CKDL240001893-1A_223GL2LT4_L8_2.fq.gz,PWK_PhJ,67O,igvf_016,L8
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L7_2.fq.gz,WSB_EiJ,67A,igvf_016,L7
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L8_2.fq.gz,WSB_EiJ,67A,igvf_016,L8
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L3_2.fq.gz,WSB_EiJ,67A,igvf_016,L3
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L4_2.fq.gz,WSB_EiJ,67A,igvf_016,L4
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L5_2.fq.gz,WSB_EiJ,67A,igvf_016,L5
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L1_2.fq.gz,WSB_EiJ,67A,igvf_016,L1
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L2_2.fq.gz,WSB_EiJ,67A,igvf_016,L2
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67A/IGVF016_67A_CKDL240001893-1A_223GL2LT4_L6_2.fq.gz,WSB_EiJ,67A,igvf_016,L2
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L6_2.fq.gz,WSB_EiJ,67B,igvf_016,L2
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L2_2.fq.gz,WSB_EiJ,67B,igvf_016,L2
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L1_2.fq.gz,WSB_EiJ,67B,igvf_016,L1
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L3_2.fq.gz,WSB_EiJ,67B,igvf_016,L3
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L4_2.fq.gz,WSB_EiJ,67B,igvf_016,L4
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L7_2.fq.gz,WSB_EiJ,67B,igvf_016,L8
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L8_2.fq.gz,WSB_EiJ,67B,igvf_016,L7
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67B/IGVF016_67B_CKDL240001893-1A_223GL2LT4_L5_2.fq.gz,WSB_EiJ,67B,igvf_016,L5
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L1_2.fq.gz,WSB_EiJ,67C,igvf_016,L1
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L2_2.fq.gz,WSB_EiJ,67C,igvf_016,L2
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L3_2.fq.gz,WSB_EiJ,67C,igvf_016,L3
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L4_2.fq.gz,WSB_EiJ,67C,igvf_016,L4
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L5_2.fq.gz,WSB_EiJ,67C,igvf_016,L5
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L6_2.fq.gz,WSB_EiJ,67C,igvf_016,L6
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L7_2.fq.gz,WSB_EiJ,67C,igvf_016,L7
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67C/IGVF016_67C_CKDL240001893-1A_223GL2LT4_L8_2.fq.gz,WSB_EiJ,67C,igvf_016,L8
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L8_2.fq.gz,WSB_EiJ,67D,igvf_016,L2
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L1_2.fq.gz,WSB_EiJ,67D,igvf_016,L8
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L7_2.fq.gz,WSB_EiJ,67D,igvf_016,L1
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L3_2.fq.gz,WSB_EiJ,67D,igvf_016,L7
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L2_2.fq.gz,WSB_EiJ,67D,igvf_016,L3
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L4_2.fq.gz,WSB_EiJ,67D,igvf_016,L4
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L5_2.fq.gz,WSB_EiJ,67D,igvf_016,L5
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67D/IGVF016_67D_CKDL240001893-1A_223GL2LT4_L6_2.fq.gz,WSB_EiJ,67D,igvf_016,L6
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L2_2.fq.gz,WSB_EiJ,67E,igvf_016,L2
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L1_2.fq.gz,WSB_EiJ,67E,igvf_016,L1
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L6_2.fq.gz,WSB_EiJ,67E,igvf_016,L6
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L3_2.fq.gz,WSB_EiJ,67E,igvf_016,L3
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L4_2.fq.gz,WSB_EiJ,67E,igvf_016,L4
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L5_2.fq.gz,WSB_EiJ,67E,igvf_016,L5
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L7_2.fq.gz,WSB_EiJ,67E,igvf_016,L7
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67E/IGVF016_67E_CKDL240001893-1A_223GL2LT4_L8_2.fq.gz,WSB_EiJ,67E,igvf_016,L8
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L1_2.fq.gz,WSB_EiJ,67F,igvf_016,L1
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L2_2.fq.gz,WSB_EiJ,67F,igvf_016,L2
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L3_2.fq.gz,WSB_EiJ,67F,igvf_016,L3
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L4_2.fq.gz,WSB_EiJ,67F,igvf_016,L4
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L5_2.fq.gz,WSB_EiJ,67F,igvf_016,L5
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L6_2.fq.gz,WSB_EiJ,67F,igvf_016,L6
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L7_2.fq.gz,WSB_EiJ,67F,igvf_016,L7
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67F/IGVF016_67F_CKDL240001893-1A_223GL2LT4_L8_2.fq.gz,WSB_EiJ,67F,igvf_016,L8
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L1_2.fq.gz,WSB_EiJ,67G,igvf_016,L1
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L2_2.fq.gz,WSB_EiJ,67G,igvf_016,L2
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L3_2.fq.gz,WSB_EiJ,67G,igvf_016,L3
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L4_2.fq.gz,WSB_EiJ,67G,igvf_016,L4
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L5_2.fq.gz,WSB_EiJ,67G,igvf_016,L5
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L6_2.fq.gz,WSB_EiJ,67G,igvf_016,L6
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L7_2.fq.gz,WSB_EiJ,67G,igvf_016,L7
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67G/IGVF016_67G_CKDL240001893-1A_223GL2LT4_L8_2.fq.gz,WSB_EiJ,67G,igvf_016,L8
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L1_2.fq.gz,WSB_EiJ,67H,igvf_016,L1
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L2_2.fq.gz,WSB_EiJ,67H,igvf_016,L2
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L3_2.fq.gz,WSB_EiJ,67H,igvf_016,L3
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L4_2.fq.gz,WSB_EiJ,67H,igvf_016,L4
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L5_2.fq.gz,WSB_EiJ,67H,igvf_016,L5
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L6_2.fq.gz,WSB_EiJ,67H,igvf_016,L6
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L7_2.fq.gz,WSB_EiJ,67H,igvf_016,L7
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67H/IGVF016_67H_CKDL240001893-1A_223GL2LT4_L8_2.fq.gz,WSB_EiJ,67H,igvf_016,L8
/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67I/IGVF016_67I_CKDL240001893-1A_223GL2LT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_016/nova/IGVF016_67I/IGVF016_67I_CKDL240001893-1A_223GL2LT4_L5_2.fq.gz,WSB_EiJ,67I,igvf_016,L5
